trial_id,score,pnl,wr,pf,mdd,sharpe,sortino
50c669641d,-1000000000.0,-488.9300000000003,0.5756395995550612,0.9261414962944612,883.0552162438677,-2.6116731560674085,-3.4667202847865544
d0e56b9e1b,98.77727782274542,1608.6899999999991,0.648876404494382,2.0671597731268028,486.7912201680722,8.372882083025594,219.54938815103205
e2803c5daa,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
364dda347a,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2c704c05d8,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
54ca7a7453,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
0b0b9975ab,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
7ed9b534d0,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
02b916e66c,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
a95e01aeb9,-1000000000.0,-5.1000000000000005,0.3333333333333333,0.2499999999999999,6.798567814040339,-10.2386940310724,-11.05263578753171
ca35ccb2b9,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
ef26db4321,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
cc165cf083,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
632fadf4b7,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
92b36a41b9,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
068c794f62,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
0118fb346d,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
10bbf1d50a,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
